date,trade,conf,n,risk_usd,spot_in,spot_out,iv_in,iv_out,fc_mean,fc_p95,fc_skew,fc_kurt,rv_cons,vrp_pct,regime,prob_turb,heston_v0,heston_kappa,heston_theta,heston_sv,heston_rho,pnl,capital,reason
2018-03-22,NO_TRADE,0.27,0,0.0,237.4,233.64,0.1652,0.2431,0.17201,0.2392,0.4749,0.1563,0.13583,-0.04122,1,0.7179,0.034299,29.5098,0.017979,1.3797,-0.0895,0.0,1000000.0,IV>5RV | k=0.2 | sk=0.5 | TURB_PENALTY
2018-03-23,SELL_STRADDLE,0.6,53,21436.91,234.08,228.66,0.2431,0.2622,0.17201,0.2392,0.4749,0.1563,0.13931,0.29243,1,0.7341,0.034299,29.5098,0.017979,1.3797,-0.0895,-8520.77,991479.23,VRP=+29.2% | IV>5RV | p95<IV | k=0.2 | sk=0.5 | TURB_PENALTY
2018-03-26,SELL_STRADDLE,0.6,91,39391.01,232.27,234.92,0.2622,0.2028,0.17201,0.2392,0.4749,0.1563,0.15033,0.34397,1,0.7346,0.034299,29.5098,0.017979,1.3797,-0.0895,7291.54,998770.77,VRP=+34.4% | IV>5RV | p95<IV | k=0.2 | sk=0.5 | TURB_PENALTY
2018-03-27,NO_TRADE,0.36,0,0.0,235.85,230.92,0.2028,0.2095,0.17201,0.2392,0.4749,0.1563,0.1642,0.15182,1,0.7406,0.034299,29.5098,0.017979,1.3797,-0.0895,0.0,998770.77,VRP=+15.2% | IV>4RV | k=0.2 | sk=0.5 | TURB_PENALTY
2018-03-28,NO_TRADE,0.36,0,0.0,231.05,230.24,0.2095,0.2294,0.17201,0.2392,0.4749,0.1563,0.17112,0.17895,1,0.7338,0.034299,29.5098,0.017979,1.3797,-0.0895,0.0,998770.77,VRP=+17.9% | IV>4RV | k=0.2 | sk=0.5 | TURB_PENALTY
2018-03-29,NO_TRADE,0.27,0,0.0,231.38,233.18,0.2294,0.1857,0.22832,0.29958,0.3637,-0.0884,0.1728,0.00472,1,0.9137,0.0622,26.6579,0.018954,1.3886,-0.0868,0.0,998770.77,IV>5RV | k=-0.1 | sk=0.4 | TURB_PENALTY
2018-04-02,NO_TRADE,0.09,0,0.0,232.65,228.15,0.1857,0.2531,0.22832,0.29958,0.3637,-0.0884,0.17729,-0.22949,1,0.9134,0.0622,26.6579,0.018954,1.3886,-0.0868,0.0,998770.77,k=-0.1 | sk=0.4 | TURB_PENALTY
2018-04-03,NO_TRADE,0.36,0,0.0,229.39,231.07,0.2531,0.2148,0.22832,0.29958,0.3637,-0.0884,0.18677,0.09792,1,0.9131,0.0622,26.6579,0.018954,1.3886,-0.0868,0.0,998770.77,VRP(w)=+9.8% | IV>5RV | k=-0.1 | sk=0.4 | TURB_PENALTY
2018-04-04,NO_TRADE,0.18,0,0.0,227.51,233.54,0.2148,0.1995,0.22832,0.29958,0.3637,-0.0884,0.18399,-0.06293,1,0.9142,0.0622,26.6579,0.018954,1.3886,-0.0868,0.0,998770.77,IV>4RV | k=-0.1 | sk=0.4 | TURB_PENALTY
2018-04-05,NO_TRADE,0.09,0,0.0,235.3,235.38,0.1995,0.1793,0.22832,0.29958,0.3637,-0.0884,0.19343,-0.14444,1,0.9122,0.0622,26.6579,0.018954,1.3886,-0.0868,0.0,998770.77,k=-0.1 | sk=0.4 | TURB_PENALTY
2018-04-06,NO_TRADE,0.09,0,0.0,233.42,230.14,0.1793,0.2106,0.18469,0.25538,0.4226,-0.0413,0.19168,-0.03006,1,0.7615,0.03972,26.584,0.01889,1.394,-0.0789,0.0,998770.77,k=-0.0 | sk=0.4 | TURB_PENALTY
2018-04-09,NO_TRADE,0.27,0,0.0,231.6,231.27,0.2106,0.2183,0.18469,0.25538,0.4226,-0.0413,0.20023,0.12303,1,0.7628,0.03972,26.584,0.01889,1.394,-0.0789,0.0,998770.77,VRP=+12.3% | k=-0.0 | sk=0.4 | TURB_PENALTY
2018-04-10,NO_TRADE,0.27,0,0.0,234.17,234.95,0.2183,0.1892,0.18469,0.25538,0.4226,-0.0413,0.20212,0.15396,1,0.7624,0.03972,26.584,0.01889,1.394,-0.0789,0.0,998770.77,VRP=+15.4% | k=-0.0 | sk=0.4 | TURB_PENALTY
2018-04-11,NO_TRADE,0.09,0,0.0,233.46,233.72,0.1892,0.1837,0.18469,0.25538,0.4226,-0.0413,0.20642,0.02384,1,0.7635,0.03972,26.584,0.01889,1.394,-0.0789,0.0,998770.77,k=-0.0 | sk=0.4 | TURB_PENALTY
2018-04-12,NO_TRADE,0.09,0,0.0,235.05,235.64,0.1837,0.1582,0.18469,0.25538,0.4226,-0.0413,0.20793,-0.00539,1,0.7577,0.03972,26.584,0.01889,1.394,-0.0789,0.0,998770.77,k=-0.0 | sk=0.4 | TURB_PENALTY
