date,trade,conf,n,risk_usd,spot_in,spot_out,iv_in,iv_out,fc_mean,fc_p95,fc_skew,fc_kurt,rv_cons,vrp_pct,regime,prob_turb,pnl,capital,reason
2023-03-17,SELL_STRADDLE,0.7,28,17074.08,379.43,376.31,0.2261,0.2501,0.1759,0.31391,1.0461,1.7835,0.14944,0.22204,1,0.5103,1816.5,1001816.5,VRP=+22.2% | IV>5RV | k=1.8
2023-03-20,SELL_STRADDLE,0.7,34,22791.52,377.1,379.93,0.2501,0.239,0.1759,0.31391,1.0461,1.7835,0.14991,0.29669,1,0.5103,5358.26,1007174.76,VRP=+29.7% | IV>5RV | k=1.8
2023-03-21,SELL_STRADDLE,0.7,31,20185.8,383.31,384.92,0.239,0.2084,0.1759,0.31391,1.0461,1.7835,0.15644,0.26403,1,0.5103,6669.56,1013844.32,VRP=+26.4% | IV>5RV | k=1.8
2023-03-22,SELL_STRADDLE,0.7,21,11968.92,384.75,378.36,0.2084,0.2175,0.1759,0.31391,1.0461,1.7835,0.16096,0.15596,1,0.5103,-2498.24,1011346.08,VRP=+15.6% | IV>5RV | k=1.8
2023-03-23,SELL_STRADDLE,0.7,25,14734.85,381.24,379.38,0.2175,0.2111,0.1759,0.31391,1.0461,1.7835,0.17123,0.19127,1,0.5103,872.49,1012218.57,VRP=+19.1% | IV>5RV | k=1.8
2023-03-24,SELL_STRADDLE,0.7,20,11347.07,378.1,381.87,0.2111,0.1862,0.18066,0.30783,0.9318,1.6214,0.17101,0.14421,0,0.2346,1737.75,1013956.32,VRP=+14.4% | IV>5RV | k=1.6
2023-03-27,NO_TRADE,0.25,0,0.0,384.16,382.59,0.1862,0.1731,0.18066,0.30783,0.9318,1.6214,0.17047,0.02977,0,0.2346,0.0,1013956.32,IV>4RV | k=1.6
2023-03-28,NO_TRADE,0.1,0,0.0,381.89,381.73,0.1731,0.1633,0.18066,0.30783,0.9318,1.6214,0.17073,-0.04366,0,0.2346,0.0,1013956.32,k=1.6
2023-03-29,NO_TRADE,0.1,0,0.0,385.91,387.28,0.1633,0.1517,0.18066,0.30783,0.9318,1.6214,0.16792,-0.10629,0,0.2346,0.0,1013956.32,k=1.6
2023-03-30,NO_TRADE,0.1,0,0.0,389.92,389.54,0.1517,0.153,0.18066,0.30783,0.9318,1.6214,0.1677,-0.19088,0,0.2346,0.0,1013956.32,k=1.6
2023-03-31,NO_TRADE,0.1,0,0.0,390.47,395.03,0.153,0.1451,0.16417,0.27313,0.7961,1.3454,0.1715,-0.07303,0,0.1575,0.0,1013956.32,k=1.3
2023-04-03,NO_TRADE,0.1,0,0.0,394.51,396.54,0.1451,0.1503,0.16417,0.27313,0.7961,1.3454,0.17501,-0.13145,0,0.1575,0.0,1013956.32,k=1.3
2023-04-04,NO_TRADE,0.1,0,0.0,397.19,394.34,0.1503,0.1542,0.16417,0.27313,0.7961,1.3454,0.17621,-0.0923,0,0.1575,0.0,1013956.32,k=1.3
2023-04-05,NO_TRADE,0.1,0,0.0,393.61,393.31,0.1542,0.1499,0.16417,0.27313,0.7961,1.3454,0.17092,-0.06468,0,0.1575,0.0,1013956.32,k=1.3
2023-04-06,NO_TRADE,0.1,0,0.0,392.51,394.84,0.1499,0.1368,0.16417,0.27313,0.7961,1.3454,0.1711,-0.09522,0,0.1575,0.0,1013956.32,k=1.3
2023-04-10,NO_TRADE,0.1,0,0.0,392.35,395.25,0.1368,0.148,0.14899,0.25038,0.7791,1.0623,0.16935,-0.08909,0,0.1862,0.0,1013956.32,k=1.1
2023-04-11,NO_TRADE,0.1,0,0.0,395.87,395.35,0.148,0.1486,0.14899,0.25038,0.7791,1.0623,0.16936,-0.00667,0,0.1862,0.0,1013956.32,k=1.1
2023-04-12,NO_TRADE,0.1,0,0.0,397.43,393.74,0.1486,0.139,0.14899,0.25038,0.7791,1.0623,0.15396,-0.00261,0,0.1862,0.0,1013956.32,k=1.1
2023-04-13,NO_TRADE,0.1,0,0.0,394.83,398.97,0.139,0.1265,0.14899,0.25038,0.7791,1.0623,0.14404,-0.07186,0,0.1862,0.0,1013956.32,k=1.1
2023-04-14,NO_TRADE,0.1,0,0.0,398.33,398.0,0.1265,0.1135,0.14899,0.25038,0.7791,1.0623,0.14747,-0.17777,0,0.1862,0.0,1013956.32,k=1.1
2023-04-17,NO_TRADE,0.1,0,0.0,397.91,399.42,0.1135,0.1251,0.13601,0.23501,1.1146,2.2492,0.14115,-0.19829,0,0.2291,0.0,1013956.32,k=2.2
2023-04-18,NO_TRADE,0.1,0,0.0,401.01,399.69,0.1251,0.1271,0.13601,0.23501,1.1146,2.2492,0.13769,-0.08718,0,0.2291,0.0,1013956.32,k=2.2
2023-04-19,NO_TRADE,0.1,0,0.0,397.77,399.62,0.1271,0.123,0.13601,0.23501,1.1146,2.2492,0.12795,-0.07007,0,0.2291,0.0,1013956.32,k=2.2
2023-04-20,NO_TRADE,0.1,0,0.0,396.79,397.44,0.123,0.1313,0.13601,0.23501,1.1146,2.2492,0.11843,-0.10574,0,0.2291,0.0,1013956.32,k=2.2
2023-04-21,NO_TRADE,0.25,0,0.0,397.74,397.75,0.1313,0.1288,0.13601,0.23501,1.1146,2.2492,0.11894,-0.03584,0,0.2291,0.0,1013956.32,IV>4RV | k=2.2
2023-04-24,NO_TRADE,0.27,0,0.0,397.54,398.16,0.1288,0.1465,0.09168,0.15667,1.4909,4.5542,0.11305,0.2882,1,0.9751,0.0,1013956.32,VRP=+28.8% | IV>4RV | TURB_PENALTY
2023-04-25,SELL_SMALL,0.42,16,6602.66,396.18,391.84,0.1465,0.1708,0.09168,0.15667,1.4909,4.5542,0.09882,0.3742,1,0.9751,-1336.7,1012619.62,VRP=+37.4% | IV>5RV | p90<IV | TURB_PENALTY
2023-04-26,SELL_SMALL,0.51,48,22873.59,392.46,390.18,0.1708,0.1728,0.09168,0.15667,1.4909,4.5542,0.09111,0.46323,1,0.9751,4321.66,1016941.28,VRP=+46.3% | IV>5RV | p95<IV | TURB_PENALTY
2023-04-27,SELL_SMALL,0.51,48,23157.18,392.73,397.95,0.1728,0.1522,0.09168,0.15667,1.4909,4.5542,0.09554,0.46944,1,0.9751,-3614.33,1013326.95,VRP=+46.9% | IV>5RV | p95<IV | TURB_PENALTY
2023-04-28,SELL_SMALL,0.42,17,7304.18,397.06,401.35,0.1522,0.1353,0.09168,0.15667,1.4909,4.5542,0.10205,0.39764,1,0.9751,-659.6,1012667.35,VRP=+39.8% | IV>5RV | p90<IV | TURB_PENALTY
2023-05-01,SELL_SMALL,0.4,0,0.0,400.9,400.94,0.1353,0.1407,0.17046,0.27956,0.5361,0.4259,0.11061,-0.25984,0,0.0607,0.0,1012667.35,IV>5RV | k=0.4
2023-05-02,SELL_SMALL,0.4,0,0.0,400.23,396.43,0.1407,0.1661,0.17046,0.27956,0.5361,0.4259,0.10451,-0.21149,0,0.0607,0.0,1012667.35,IV>5RV | k=0.4
2023-05-03,SELL_SMALL,0.4,0,0.0,396.94,393.71,0.1661,0.1649,0.17046,0.27956,0.5361,0.4259,0.10725,-0.02623,0,0.0607,0.0,1012667.35,IV>5RV | k=0.4
2023-05-04,SELL_SMALL,0.4,0,0.0,392.66,390.92,0.1649,0.1788,0.17046,0.27956,0.5361,0.4259,0.10744,-0.0337,0,0.0607,0.0,1012667.35,IV>5RV | k=0.4
2023-05-05,SELL_SMALL,0.4,2,1003.05,394.57,398.16,0.1788,0.1334,0.17046,0.27956,0.5361,0.4259,0.10708,0.04666,0,0.0607,178.3,1012845.65,IV>5RV | k=0.4
2023-05-08,NO_TRADE,0.25,0,0.0,398.49,398.27,0.1334,0.1324,0.16465,0.27574,0.6767,0.6592,0.1159,-0.23424,0,0.1033,0.0,1012845.65,IV>4RV | k=0.7
2023-05-09,NO_TRADE,0.25,0,0.0,396.71,396.52,0.1324,0.144,0.16465,0.27574,0.6767,0.6592,0.11514,-0.24356,0,0.1033,0.0,1012845.65,IV>4RV | k=0.7
2023-05-10,SELL_SMALL,0.4,0,0.0,399.37,398.37,0.144,0.1259,0.16465,0.27574,0.6767,0.6592,0.11443,-0.14339,0,0.1033,0.0,1012845.65,IV>5RV | k=0.7
2023-05-11,NO_TRADE,0.25,0,0.0,397.5,397.68,0.1259,0.1249,0.16465,0.27574,0.6767,0.6592,0.11572,-0.30776,0,0.1033,0.0,1012845.65,IV>4RV | k=0.7
2023-05-12,NO_TRADE,0.25,0,0.0,398.92,397.16,0.1249,0.1209,0.16465,0.27574,0.6767,0.6592,0.11633,-0.31823,0,0.1033,0.0,1012845.65,IV>4RV | k=0.7
2023-05-15,NO_TRADE,0.25,0,0.0,397.77,398.53,0.1209,0.1264,0.15945,0.26518,0.5172,0.338,0.11642,-0.31889,0,0.0614,0.0,1012845.65,IV>4RV | k=0.3
2023-05-16,NO_TRADE,0.25,0,0.0,397.42,395.86,0.1264,0.1399,0.15945,0.26518,0.5172,0.338,0.11254,-0.26151,0,0.0614,0.0,1012845.65,IV>4RV | k=0.3
2023-05-17,SELL_SMALL,0.4,0,0.0,397.89,400.67,0.1399,0.1267,0.15945,0.26518,0.5172,0.338,0.11181,-0.13977,0,0.0614,0.0,1012845.65,IV>5RV | k=0.3
2023-05-18,NO_TRADE,0.25,0,0.0,400.35,404.53,0.1267,0.1206,0.15945,0.26518,0.5172,0.338,0.11747,-0.25852,0,0.0614,0.0,1012845.65,IV>4RV | k=0.3
2023-05-19,NO_TRADE,0.1,0,0.0,405.44,403.94,0.1206,0.1225,0.15945,0.26518,0.5172,0.338,0.11978,-0.32217,0,0.0614,0.0,1012845.65,k=0.3
2023-05-22,NO_TRADE,0.1,0,0.0,403.96,404.1,0.1225,0.1352,0.13416,0.22956,1.0187,2.2178,0.11909,-0.09516,0,0.121,0.0,1012845.65,k=2.2
2023-05-23,NO_TRADE,0.25,0,0.0,402.45,399.57,0.1352,0.1537,0.13416,0.22956,1.0187,2.2178,0.11569,0.00771,0,0.121,0.0,1012845.65,IV>4RV | k=2.2
2023-05-24,SELL_STRADDLE,0.7,22,9567.12,397.96,396.67,0.1537,0.1777,0.13416,0.22956,1.0187,2.2178,0.11829,0.12715,0,0.121,1274.23,1014119.88,VRP=+12.7% | IV>5RV | k=2.2
